# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
166 0.00 171.00 1034.00 10.25 0.69
166 1.00 119.00 44.00 11.67 1.65
166 2.00 249.00 511.00 10.31 1.63
166 3.00 130.00 652.00 3.46 -10.40
166 4.00 134.00 110.00 3.63 -11.49
166 5.00 122.00 nan 9.94 1.73
167 0.00 118.00 nan 10.98 1.95
168 0.00 140.00 nan 10.91 -0.11
169 0.00 106.00 nan 7.27 4.22
170 0.00 111.00 539.00 -5.65 -8.05
170 1.00 128.00 286.00 10.11 -3.15
170 2.00 139.00 nan 7.55 6.02
171 0.00 189.00 92.00 10.17 -3.46
171 1.00 136.00 264.00 4.53 9.75
171 2.00 159.00 nan 9.88 -3.48
172 0.00 145.00 nan 10.39 -3.71
173 0.00 215.00 1458.00 8.40 -7.04
173 1.00 263.00 nan 8.59 -6.92
174 0.00 172.00 91.00 7.52 -7.68
174 1.00 110.00 125.00 10.50 1.41
174 2.00 109.00 93.00 7.02 7.03
174 3.00 113.00 nan 0.44 9.42
175 0.00 105.00 60.00 9.30 5.56
175 1.00 174.00 nan 10.83 -0.82
176 0.00 118.00 26.00 8.78 -5.05
176 1.00 133.00 nan 8.81 -5.17
177 0.00 128.00 492.00 6.63 -8.61
177 1.00 165.00 nan 2.22 9.26
178 0.00 144.00 nan 10.43 3.39
179 0.00 256.00 nan 9.47 4.65
180 nan nan nan nan nan
181 0.00 139.00 94.00 10.73 0.52
181 1.00 159.00 449.00 7.26 6.94
181 2.00 128.00 nan 7.82 6.49
182 nan nan nan nan nan
183 0.00 118.00 224.00 1.53 -11.05
183 1.00 106.00 82.00 6.72 -8.71
183 2.00 110.00 177.00 9.46 -5.99
183 3.00 120.00 47.00 11.44 0.90
183 4.00 103.00 194.00 9.48 4.92
183 5.00 103.00 270.00 10.95 -0.30
183 6.00 203.00 nan 10.27 -0.44
184 0.00 123.00 50.00 9.54 -1.50
184 1.00 306.00 27.00 8.42 -7.06
184 2.00 115.00 783.00 8.39 -7.74
184 3.00 107.00 1350.00 -6.03 -8.46
184 4.00 146.00 413.00 7.15 7.00
184 5.00 242.00 nan 8.37 -7.02
185 0.00 196.00 546.00 7.48 -7.09
185 1.00 117.00 293.00 0.06 10.56
185 2.00 104.00 nan -6.56 7.00
186 0.00 143.00 532.00 -0.32 0.01
186 1.00 118.00 114.00 10.31 -1.50
186 2.00 102.00 4.00 2.76 9.22
186 3.00 132.00 204.00 2.77 9.25
186 4.00 121.00 nan 10.71 -1.82
187 nan nan nan nan nan
188 nan nan nan nan nan
189 0.00 110.00 31.00 8.02 -7.10
189 1.00 117.00 nan 8.03 -7.03
190 0.00 155.00 1140.00 -0.45 0.09
190 1.00 168.00 357.00 8.79 -5.63
190 2.00 109.00 nan 4.42 7.76
191 nan nan nan nan nan
192 0.00 155.00 nan 5.56 -9.05
193 0.00 121.00 1.00 8.75 -7.73
193 1.00 133.00 nan 8.86 -7.77
194 0.00 172.00 nan 9.52 -5.71
195 nan nan nan nan nan
196 0.00 111.00 nan 8.64 -6.30
197 0.00 132.00 nan 8.25 -7.60
198 0.00 114.00 nan 8.81 -4.19
199 nan nan nan nan nan
200 0.00 150.00 1051.00 9.94 -5.24
200 1.00 116.00 nan 11.31 -4.86
201 0.00 119.00 813.00 10.11 -5.75
201 1.00 163.00 1043.00 5.70 -10.95
201 2.00 120.00 nan 5.98 -10.18
202 0.00 151.00 1484.00 10.56 -7.00
202 1.00 102.00 nan -6.92 4.97
203 0.00 101.00 nan -2.50 -9.94
204 0.00 112.00 610.00 0.02 -0.28
204 1.00 174.00 20.00 4.57 -9.68
204 2.00 118.00 845.00 4.74 -9.75
204 3.00 177.00 nan -3.83 -9.68
205 0.00 114.00 261.00 2.13 9.17
205 1.00 154.00 198.00 10.45 2.99
205 2.00 124.00 147.00 10.93 -1.14
205 3.00 128.00 nan 8.53 -6.37
206 nan nan nan nan nan
207 0.00 143.00 43.00 9.30 -6.64
207 1.00 211.00 nan 8.46 -7.02
208 0.00 225.00 6.00 9.00 -6.23
208 1.00 186.00 968.00 9.16 -6.25
208 2.00 143.00 nan 9.32 -5.14
209 0.00 176.00 101.00 6.18 -9.01
209 1.00 151.00 nan 9.88 -5.75
210 0.00 102.00 343.00 8.17 3.74
210 1.00 118.00 nan 10.02 4.08
211 nan nan nan nan nan
212 nan nan nan nan nan
213 nan nan nan nan nan
214 0.00 125.00 nan 7.14 -7.99
215 nan nan nan nan nan
216 0.00 121.00 239.00 8.77 -5.44
216 1.00 117.00 341.00 8.53 5.31
216 2.00 110.00 160.00 1.06 9.17
216 3.00 124.00 1282.00 10.82 0.07
216 4.00 119.00 434.00 -4.62 -9.49
216 5.00 175.00 nan 6.15 -9.52
217 nan nan nan nan nan
218 0.00 140.00 560.00 10.35 -1.46
218 1.00 108.00 nan 2.35 10.24
219 0.00 155.00 nan -3.21 8.36
220 nan nan nan nan nan
221 0.00 187.00 66.00 9.55 -5.59
221 1.00 103.00 114.00 9.12 2.79
221 2.00 129.00 131.00 5.81 7.18
221 3.00 111.00 nan 10.99 2.02
222 0.00 118.00 nan 10.60 0.29
